"","mass","length","pcsa","lsr_mass","lsr_length","lsr_pcsa"
"Sommeromys macrorhinos kcr2596",0.0042,0.4165421235,0.00951227721616826,-1.20838751281264,0.188510244183129,-1.38878700898545
"Sommeromys macrorhinos kcr2644",0.0043,0.39,0.0104015481373972,-1.26671465021866,0.164756566760571,-1.43033011061475
"Soricomys leonardocoi FMNH 190966",0.0057,0.3444651163,0.015610749060241,-0.276631613245141,0.0956341210260857,-0.360492445326847
"Soricomys leonardocoi FMNH 190967",0.0055,0.3454203326,0.0150213486456559,-0.268909065599538,0.133060088624539,-0.408282432624824
"Spalacopus cyanus CBUN SC2ID1",0.0791,0.9422244898,0.079198367604809,-0.56419165329256,0.411534718883827,-0.942516725133548
"Stenocephalemys albipes CBUN ETH1426",0.0161,0.4490465116,0.0338242895845336,-0.894549558163754,0.287457883543843,-1.15583286100511
"Tateomys rhinogradoides hh780",0.0054,0.3042674823,0.0167429643947907,-1.09398307052307,-0.13616797117391,-0.96608823266113
"Tateomys rhinogradoides hh821",0.0055,0.35,0.0148247978436658,-0.939985509202214,0.127297886815331,-1.05872481615236
"Thomomys talpoides FU23CB",0.0692,0.7565142857,0.0862944958237218,-0.208957897048528,0.254096499909474,-0.452127722628928
"Uranomys ruddi MNHN-ZM-MO 1996-2080",0.0075,0.2906,0.0243478035034866,-0.82707492838278,-0.118150943255364,-0.687439127522866
"Paraxerus boehmi RMCA 1995.061.M.3257",0.0179,0.55894418605,0.0300573753604526,-1.00441747727789,0.245412646673862,-1.23875689164808
"Apodemus sylvaticus MB 2018-34-16",0.0067,0.3092702703,0.0204376408726576,-0.909754096952689,0.147748752208119,-1.03975549365496
"Holochilus brasiliensis MNHN-ZM-MO CG1994-5",0.0777,0.7553111111,0.0970486011859396,-0.617659925272026,0.275349287415979,-0.894762505418588
"Sigmodon hispidus MNHN-ZM-MO 2000-231",0.0695,0.8177857143,0.0801750832636782,-0.658398371410504,0.368869593660722,-0.980143946339535
"Apomys banahao CBGP P0064",0.0182,0.3229787234,0.0531608123903889,-0.989194573313344,-0.0943598465855305,-0.891988742425465
"Apomys datae FMNH 188272",0.027,0.5232195122,0.0486826227219734,-0.863522843633267,0.121515503603799,-0.960235087924356
"Chaetodipus formosus UWBM 37577",0.0059,0.26925,0.0206723778490216,-0.230599720524239,0.0531583499398904,-0.270656651391385
"Hystrix pumila CBUN CSB013",1.0552,1.226086957,0.811909540697616,-0.787670560041736,0.147032047409912,-0.928634262938378
