"","DM","ePT","iPT","SM","T","ZM"
"Leptomys sp. CBUN FR 2200-033",0.066,0.0166,0.0279,0.0591,0.0775,0.0284
"Lophiomys imhausi NHM unreg",0.644,0.1492,0.2942,0.8968,1.0055,0.3901
"Lorentzimys nouhuysi CBUN MW-2700-131",0.0432,0.0098,0.01,0.0175,0.0215,0.0128
"Macruromys sp. CBUN FR 1200-029",0.4027,0.097,0.086,0.2688,0.2696,0.1386
"Makalata didelphoides UM V36-40",0.43,0.0488,0.0748,0.2883,0.1294,0.2603
"Malacothrix typica NHM 1898.2.3.5",0.0232,0.0081,0.015,0.0273,0.0109,0.02
"Massoutiera mzabi NHM 19.7.7.2880",0.1644,0.0409,0.1738,0.2273,0.0432,0.1701
"Mastacomys fuscus MV C9999",0.3538,0.0478,0.1277,0.23,0.1357,0.1106
"Mastomys natalensis MNHN-ZM-MO 1993-168",0.1106,0.0196,0.0197,0.0573,0.0855,0.0379
"Pseudohydromys ellermani CBUN FR 2200-043",0.0356,0.0076,0.0065,0.013,0.0284,0.0073
"Melasmothrix naso AMNH 225097",0.0247,0.0097,0.0112,0.0149,0.0219,0.0078
"Mesocricetus auratus NHM 1992.42",0.1519,0.0199,0.0448,0.1249,0.2041,0.0536
"Mesomys hispidus JAGUARS M1281",0.1546,0.0183,0.0222,0.107,0.0548,0.0644
"Microcavia australis NHM 1992.483",0.1785,0.0451,0.1816,0.3892,0.0527,0.2484
"Microtus sp. MB 2018-34-15",0.0649,0.0047,0.0073,0.023,0.0299,0.0146
"Monticolomys koopmani FMNH 161703",0.0456,0.0074,0.0124,0.0219,0.0248,0.016
"Mus crociduroides LSUMZ 39557",0.0283,0.009,0.0158,0.0127,0.0258,0.0096
"Mus crociduroides LSUMZ 39556 (HH1430)",0.0326,0.0111,0.0181,0.0158,0.0275,0.0125
"Muscardinus avellanarius NHM 1977.856",0.0539,0.0051,0.0097,0.0208,0.0213,0.013
"Myocastor coypus QM 1150",5.6849,1.7572,2.67,12.68,4.3343,5.2236
"Myodes sp. NHM 1856-7-9-9-15b",0.1848,0.0147,0.0197,0.0177,0.0946,0.0386
"Myodes sp. NHM 1856-7-9-9-15a",0.388,0.0134,0.034,0.0433,0.1384,0.0523
"Myosciurus pumilio NHM 1948.974",0.058,0.009,0.0096,0.009,0.0068,0.0118
"Nannosciurus exilis tetectus NHM 1892.6.1.10",0.0521,0.0121,0.0121,0.0167,0.0075,0.0196
"Nannosciurus melanotis NHM 2022.21",0.0414,0.0081,0.0107,0.0108,0.0053,0.0126
"Nannospalax leucodon NHMUK 1986.1781",0.2717,0.0683,0.0411,0.1189,0.532,0.202
"Neacomys paracou JAGUARS M1674",0.0153,0.0022,0.0053,0.0083,0.0102,0.0054
"Nectomys rattus JAGUARS V3614",0.2542,0.0343,0.0888,0.2283,0.1995,0.0777
"Neotoma lepida UWBM 37681",0.1238,0.0211,0.0319,0.084,0.0786,0.058
"Nesokia indica NHM 1909.7.1.82.84",0.7347,0.1133,0.1482,0.3072,0.5013,0.235
"Nesomys rufus FMNH 173271",0.2147,0.0334,0.0537,0.2086,0.098,0.1255
"Nothocricetulus migratorius NHM 1880.4.9.11",0.0488,0.0083,0.0153,0.0273,0.0495,0.0239
"Notomys alexis MV 31400",0.0645,0.0096,0.0169,0.0341,0.0141,0.024
"Octodon degus UM 506V",0.0717,0.0201,0.0255,0.1949,0.0515,0.0966
"Oecomys auyantepui JAGUARS M2029",0.0592,0.0101,0.0105,0.0348,0.042,0.021
"Oecomys rutilus UM V3625",0.0307,0.0054,0.0094,0.018,0.023,0.0101
"Oligoryzomys delicatus JAGUARS M3252",0.0225,0.0062,0.0042,0.0159,0.0149,0.0083
"Ondatra zibethicus UM 486N",1.0631,0.0875,0.1922,0.2918,0.9201,0.3022
"Onychomys torridus UWBM 37628",0.0374,0.0059,0.0124,0.0239,0.0297,0.0126
"Otomys tropicalis CBUN KE211",0.3153,0.0438,0.0947,0.1931,0.1439,0.074
"Palawanomys furvus FMNH 195411",0.1283,0.0208,0.0286,0.0769,0.0866,0.0514
"Paraleptomys whilelmina AMNH 152744",0.0325,0.0127,0.0152,0.0299,0.0401,0.0141
"Pectinator spekei NHM 1905.11.4.22",0.182,0.0337,0.1732,0.1607,0.0635,0.1759
"Pedetes capensis CESKE CBS 1",2.3457,0.4175,0.834,0.5698,0.1594,3.8029
"Petinomys sp. NHM 1903.11.2.5",0.0512,0.0155,0.0237,0.0299,0.0438,0.0216
"Petromus typicus NHM 1928.9.11.502",0.2165,0.0688,0.1326,0.5056,0.1694,0.2059
"Petromyscus sp. CBUN ANG0154",0.0407,0.0056,0.0089,0.0166,0.0206,0.012
"Petromyscus sp. CBUN ANG0162",0.0332,0.0045,0.0069,0.0196,0.0156,0.0096
"Phodopus sp. CBUN -",0.0259,0.0053,0.012,0.0214,0.0233,0.015
"Pogonomelomys sp. CBUN FR2200-039",0.0876,0.0231,0.0322,0.0359,0.0714,0.0273
"Proechimys guyannensis M1199",0.0861,0.0269,0.0316,0.0504,0.0176,0.0657
"Pseudohydromys murinus CBUN MW 2700-106",0.0108,0.005,0.0054,0.0067,0.0121,0.0032
"Pseudomys australis MV C4544",0.1524,0.0202,0.0349,0.0538,0.0487,0.0367
"Rattus baluensis EBD BOR210",0.1502,0.0304,0.0436,0.0751,0.1151,0.0519
"Rattus norvegicus UM Paul Gervais",0.5438,0.0723,0.1738,0.3186,0.4972,0.1379
"Ratufa sp. NHM 2022.24",1.6287,0.2396,0.4753,1.353,0.9722,0.3401
"Reithrodontomys megalotis UWBM 74514",0.0198,0.0056,0.0071,0.0116,0.0124,0.0071
"Rhinosciurus robinsoni NHM 1915.12.28.6",0.2379,0.0579,0.0849,0.1215,0.2088,0.0801
"Saccostomus campestris UM TDR106",0.1246,0.0253,0.0468,0.0945,0.0753,0.0501
"Salpingotulus michaelis NHM 65.4168",0.0093,0.0011,0.0023,0.0035,8e-04,0.0078
"Sciurillus pusillus NHM 1932.8.4.16",0.1289,0.0192,0.0311,0.0584,0.0329,0.0676
"Sciurus aestuans MNHN-ZM-MO 1902-46A",0.6096,0.0849,0.1108,0.1982,0.3034,0.134
"Sciurus vulgaris MB 2022.2.12",0.6865,0.0885,0.1771,0.3388,0.3631,0.1389
"Sciurus vulgaris MB 2023.2.14",0.5768,0.2398,0.0758,0.264,0.2786,0.1347
"Sciurus vulgaris MB 2022.2.15",0.4354,0.0624,0.1135,0.1282,0.1619,0.284
"Sicista betulina CBUN unregistered",0.0068,0.0034,0.0037,0.007,0.0091,0.0068
"Spalax sp. CBUN ISR007",0.4795,0.1035,0.1555,0.2143,1.0683,0.2533
"Urocitellus richardsonii NHM 1893.1.5.1",0.6043,0.0802,0.2483,0.4786,0.417,0.1437
"Steatomys caurinus RMCA 1993.012.M0353",0.0179,0.0055,0.0088,0.0172,0.0199,0.0104
"Steatomys krebsi CBUN RS0977",0.0189,0.0044,0.01,0.0197,0.0131,0.0099
"Steatomys parvus CBUN RS0713",0.033,0.007,0.0215,0.0381,0.0317,0.0181
"Aethomys hindei CBUN ETH1371",0.1643,0.0318,0.0554,0.0951,0.0936,0.0576
"Stenomys sp. MV C2104",0.0861,0.0078,0.0199,0.0353,0.0455,0.0282
"Stochomys longicaudatus MNHN-ZM-MO 2000-288",0.1925,0.0388,0.0623,0.0894,0.126,0.0484
"Sundamys infraluteus EBD BORN272",0.7049,0.0874,0.2113,0.3945,0.511,0.1725
"Sundamys muelleri EBD BORN424",0.6602,0.0901,0.2088,0.4256,0.4087,0.1982
"Sundasciurus philippinensis FMNH 208786",0.259,0.0747,0.0986,0.2369,0.2807,0.1071
"Tamias minimus UWBM 74537",0.0484,0.0154,0.0195,0.0265,0.0273,0.0175
"Tamiops maritimus NHM 2022.5.4",0.1401,0.0183,0.0335,0.0584,0.0885,0.0377
"Tarsomys apoensis FMNH 147968",0.1203,0.0262,0.0376,0.0651,0.0907,0.0364
"Tateomys rhinogradoides AMNH 223968",0.0333,0.0149,0.0158,0.0161,0.0313,0.0128
"Thomasomys sp. MUSM 40832",0.0198,0.0052,0.0126,0.0171,0.0178,0.0095
"Thrichomys laurentius NHM 3.10.1.118-221",0.1506,0.0553,0.0526,0.308,0.0781,0.2447
"Thryonomys swinderianus MNHN-ZM-MO 1996-41",0.452,0.0857,0.1672,0.7697,0.2843,0.4878
"Tylomys watsoni USNM 460459",0.5309,0.0894,0.1562,0.3719,0.4518,0.1889
"Zelotomys woosnami NHM 1910.6.3.86",0.0735,0.0143,0.0275,0.0458,0.0435,0.0246
"Zygodontomys brevicauda JAGUARS M1376",0.0436,0.016,0.0138,0.0341,0.0279,0.0175
"Aplodontia rufa UM 806V",2.3025,0.1464,0.6903,1.465,2.5461,1.2677
"Apomys banahao P0032",0.1951,0.0259,0.0415,0.0974,0.0957,0.0455
"Apomys banahao P0045",0.1542,0.0325,0.0521,0.1278,0.1066,0.0591
"Apomys banahao P0064",0.1001,0.0152,0.0257,0.1044,0.0608,0.0335
"Apomys banahao P0067",0.049,0.0085,0.0172,0.0904,0.0367,0.0227
"Bathyergus suillus BS13",3.2849,0.20265,0.44655,4.32465,3.14245,0.909
"Bathyergus suillus BS2",2.3231,0.21305,0.34165,3.4995,2.3576,0.74375
"Bathyergus suillus BS4",2.5285,0.18855,0.34005,3.1342,2.21475,0.61255
"Bathyergus suillus BS8",1.57545,0.119,0.2392,2.3751,1.47055,0.39525
"Berylmys bowersi 7219",0.2719,0.0287,0.0402,0.1265,0.1692,0.0964
"Berylmys bowersi 7220",0.2897,0.066,0.1063,0.1596,0.231,0.1102
"Berylmys bowersi 7221",0.3277,0.061,0.0709,0.154,0.1439,0.0981
