Clade,Family,Subfamily,Species,Collection,Specimen number,Muscles dataset,Landmarks dataset,Life style
Supramyomorpha,Nesomyidae,Nesomyinae,Monticolomys koopmani,Field Museum of Natural History (Chicago),FMNH 161703,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Mus caroli,Université de Montpellier,7195,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus caroli,Université de Montpellier,7225,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus cervicolor,Université de Montpellier,7313,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus cervicolor,Université de Montpellier,7314,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus cookii,Université de Montpellier,7238,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus crociduroides,Louisiana State University,LSU 39557,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Mus crociduroides,Louisiana State University,LSU 39556 (HH1430),YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Mus pahari,?,PAH 54_9,YES,NO,terrestrial
Sciuromorpha,Gliridae,Leithiinae,Muscardinus avellanarius,Natural History Museum (London),NHM 1977.856,YES,YES,arboreal
Hystricomorpha,Echimyidae,Eumysopinae,Myocastor coypus,Université de Montpellier,QM 1150,YES,YES,semiaquatic/burrower
Supramyomorpha,Cricetidae,Arvicolinae,Myodes sp.,Natural History Museum (London),NHM 1856-7-9-9-15b,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Myodes sp.,Natural History Museum (London),NHM 1856-7-9-9-15a,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Xerinae,Myosciurus pumilio,Natural History Museum (London),NHM 1948.974,YES,YES,arboreal
Sciuromorpha,Sciuridae,Callosciurinae,Exillisciurus exilis,Natural History Museum (London),NHM 1892.6.1.10,YES,YES,arboreal
Sciuromorpha,Sciuridae,Callosciurinae,Nannosciurus melanotis,Natural History Museum (London),NHM 2022.21,YES,YES,arboreal
Supramyomorpha,Spalacidae,Spalacinae,Nannospalax leucodon,Natural History Museum (London),NHMUK 1986.1781,YES,YES,subterranean (C)
Supramyomorpha,Cricetidae,Sigmodontinae,Neacomys paracou,?,JAGUARS M1674,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Nectomys rattus,?,JAGUARS V3614,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Neotomyinae,Neotoma lepida,Burke Museum of Natural History and Culture (Seattle),UWBM 37681,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Nesokia indica,Natural History Museum (London),NHM 1909.7.1.82.84,YES,YES,burrower (C)
Supramyomorpha,Nesomyidae,Nesomyinae,Nesomys rufus,Field Museum of Natural History (Chicago),FMNH 173271,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Niviventer fulvescens,Université de Montpellier,7198,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Niviventer fulvescens,Université de Montpellier,7200,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Niviventer fulvescens,Université de Montpellier,7240,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Niviventer fulvescens,Université de Montpellier,7245,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Niviventer fulvescens,Université de Montpellier,7246,YES,NO,terrestrial
Supramyomorpha,Cricetidae,Cricetinae,Nothocricetulus migratorius,Natural History Museum (London),NHM 1880.4.9.10,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Cricetinae,Nothocricetulus migratorius,Natural History Museum (London),NHM 1880.4.9.11,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Notomys alexis,?,MV 31400,YES,YES,terrestrial
Hystricomorpha,Octodontidae,,Octodon degus,Université de Montpellier,UM 506V,YES,YES,burrower
Supramyomorpha,Cricetidae,Sigmodontinae,Oecomys auyantepui,?,JAGUARS M2029,YES,YES,arboreal
Supramyomorpha,Cricetidae,Sigmodontinae,Oecomys rutilus,Université de Montpellier,UM V3625,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Oligoryzomys delicatus,?,JAGUARS M3252,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Ondatra zibethicus,Université de Montpellier,UM 486N,YES,YES,semiaquatic/burrower
Supramyomorpha,Cricetidae,Neotomyinae,Onychomys torridus,Burke Museum of Natural History and Culture (Seattle),UWBM 37628,YES,YES,terrestrial
Supramyomorpha,Muridae,Otomyinae,Otomys tropicalis,University of South Bohemia,CBUN KE211,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Palawanomys furvus,Field Museum of Natural History (Chicago),FMNH 195411,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Paraleptomys whilelmina,American Museum of Natural History (New York),AMNH 152744,YES,NO,NA
Sciuromorpha,Sciuridae,Xerinae,Paraxerus boehmi,Royal Museum for Central Africa (Tervuren),RMCA 1995.061.M.3257,YES,NO,arboreal
Hystricomorpha,Echimyidae,Echimyinae,Pattonomys semivillosus,National Museum of Natural History (Washington DC),USNM 496485,YES,NO,arboreal
