"","DM","PT","SM","T","ZM"
"106",0.00931227140275581,0.00813310234980845,0.0503223179498291,-0.0274841658645302,-0.0402835258378632
"107",0.102083907799714,-0.00926478360326159,-0.088827696054427,0.112914925432012,-0.116906353574037
"108",-0.00587989161993398,-0.0193878849390534,-0.000163845819811418,0.0317807069973978,-0.00634908461859885
"109",0.0714315428056861,-0.0546199512810095,0.00631931476567319,-0.0325981219471878,0.00946721565683788
"110",0.00181217369045707,-0.0333273033727347,0.0018836654519514,-0.091934858531888,0.121566322762214
"111",-0.0183324326746671,0.0407743396080971,0.0350668033240672,-0.0350193727539753,-0.0224893375035222
"112",0.00573330710915679,-0.0134305793502202,-0.0340188259306346,-0.0292155643828033,0.0709316625545013
"113",-0.0550038048275228,-0.0236267264729246,0.0107526491421097,0.144477161398277,-0.0765992792399394
"114",0.127307852906355,0.0262310481934382,-0.0286578456155967,-0.215863249482979,0.0909821939987804
"115",0.139198847048466,-0.00188112468163068,-0.0649192155297337,-0.131149755760174,0.0587512489230741
"116",-0.0755298572836959,-0.120236820050411,0.0264145799547251,0.27165978501961,-0.102307687640229
"117",0.0528343810269709,0.0689541311406161,-0.0577685910799882,-0.0879227521454091,0.0239028310578107
"118",-0.0451868481256127,0.0122428795410337,0.0873407077253978,0.0188419845643839,-0.073238723705203
"119",0.0739013677650492,-0.0268530025422392,-0.0231247737224648,-0.0610832198030921,0.0371596283027464
"120",0.137800921980935,0.0816013893181773,-0.132428857691621,-0.200866229209448,0.113892775601956
"121",-0.0481216045154919,0.0222476053483986,-0.0161864585720581,-0.0378921565309566,0.0799526142701082
"122",0.0379110253967418,-0.0366464157311084,-0.0139172237772047,0.0583765610185664,-0.0457239469069953
"123",0.0317708041232968,0.0578417100523166,-0.0422396024905212,-0.0730939957850431,0.0257210840999509
"124",0.0266546493102918,-0.0265950804990019,-0.026920236502908,-0.0270052897901388,0.0538659574817564
"125",0.0728807798257335,0.0897063390709231,0.0456433509505026,-0.261603908120847,0.0533734382736921
"126",-0.264461701978514,-0.0426000193050437,0.59783372796908,-0.184706165011869,-0.106065841673652
"127",0.00872576177362767,-0.0224461318411062,0.00591685160579066,0.0435411293529285,-0.0357376108912405
"128",0.0273001934275784,-0.0484487952181696,-0.019758727801142,-0.00522963064218439,0.0461369602339174
"129",-0.0415665294577952,0.0298120319646423,-0.00568014128404861,0.00733174145937656,0.010102897317825
"130",-0.00269269925987275,-0.0447628501092449,-0.0479776214231084,0.0420255857383239,0.0534075850539018
"131",-0.0147004007760785,-0.0581741021525537,-0.0260129711520706,0.0327536124471373,0.0661338616335651
"132",-0.0575078444618979,0.0260301931535182,-0.00918456048747146,-0.0623734047471797,0.103035616543032
"133",-0.108541911714342,-0.00672872792096013,0.0498784465032928,0.0248234385798359,0.0405687545521741
"134",0.292377759703358,-0.0590230282883016,-0.109088962241538,0.0499951313503203,-0.17426090052384
"135",0.00829797737661923,0.00769403723748854,0.0172318283933487,0.0209301344248507,-0.0541539774323069
"136",0.0130814005952808,0.0674626653956772,0.00237391501524763,-0.21131294049085,0.128394959484643
"137",-0.0352504657730794,0.0356718545628257,-0.00193604981063983,-0.0763934011386241,0.0779080621595176
"138",0.023963634964062,-0.119704631544959,0.0831321862178194,0.096792091271812,-0.0841832809087344
"139",0.038786988281577,0.0474067044562916,-0.0655401124770308,-0.0738791710712641,0.0532255908104264
"140",0.015812446037841,0.0206882062809082,-0.0620204737801546,0.0073804030446522,0.0181394184167532
"141",0.0330629265748756,0.0330553281795718,-0.0132231217350467,-0.0441482303732676,-0.00874690264613282
"142",0.0938664146165411,0.100656532315137,-0.110035199129687,-0.0249137801054541,-0.0595739676965362
"143",-0.0609291303850313,-0.0703542178748064,0.091669441264532,0.109951572120886,-0.0703376651255808
"144",-0.104028831284855,-0.0469663260547158,0.10749695347343,0.0746905922220635,-0.0311923883559227
"145",0.0146719610458393,-0.310346375519471,0.103450273537334,0.0124436541182982,0.179780486818
"146",-0.0986002014850542,-0.00406775504237257,0.0815321507398331,-0.0343610672218756,0.0554968730094692
"147",-0.0147286805401283,0.024633097700296,-0.0240828518978871,-0.0451543594131083,0.0593327941508277
"148",0.0222423594361311,-0.0189868525129729,0.0123667818995849,0.0940587161814997,-0.109681005004243
"149",-0.0385884943996985,0.0435786387061601,-0.0241217186343906,-0.0989138799638855,0.118045454291815
"150",-0.0581301259694563,-0.0171053235745304,0.0173425132968547,0.185627684171098,-0.127734747923966
"151",0.0248203283290165,-0.0354040658764284,-0.0148866931513161,0.0361567471396948,-0.0106863164409667
"152",-0.0342332940369187,0.00453747019020925,0.0357805342623887,-0.0568444378247891,0.0507597274091098
"153",-0.0697671311292525,0.0320819468231542,0.00915721514865519,0.0337304550419798,-0.00520248588453663
"154",-0.0358865159627947,-0.0998087219280602,0.00471971358137898,0.101718359158684,0.0292571651507921
"155",-0.059921936464126,0.0276116506063318,0.0100460851100735,-0.0153575924009921,0.0376217931487129
"156",0.0232698835766513,-0.0224539855305054,0.0154623219622161,0.0372012455033443,-0.0534794655117062
"157",-0.0289339044154775,-0.0158721483465333,-0.0388232892907977,0.135859596410272,-0.0522302543574635
"158",0.0359851442486929,0.0485673954457045,-0.0944673709947567,0.0684243636646668,-0.0585095323643073
"159",0.0536457856739024,-0.0461027646207289,-0.02301735267024,0.0194483654037135,-0.00397403378664691
"160",0.0686790113054452,-0.0735997567445088,-0.0851224000254553,0.104955109730657,-0.0149119642661383
"161",0.105766289708901,-0.0057967236473457,-0.107705566353866,-0.0241230178326882,0.0318590181249995
"162",0.0371054933423354,0.0719587475510508,-0.0744021272815607,-0.0617401235593576,0.027078009947533
"163",-0.0625855386418246,0.0239942807191547,-0.0189146981339146,0.0363043126265182,0.0212016434300665
"164",0.0577641104975405,0.0331371756642355,-0.120764857468437,-0.00056378148762323,0.0304273527942841
"165",-0.152557083369215,0.148043612466177,0.213342527430963,-0.208833542576275,4.48604834811759e-06
"166",0.000669862597585771,-0.0368018613021587,-0.0280183844085624,0.0768465910606503,-0.0126962079475148
"167",0.0020451128107837,0.0106027527180278,-0.0175172732549572,-0.0179122612979801,0.0227816690241258
"168",-0.00100872102841403,-0.049543906966843,0.0176480872062893,-0.0199645747228167,0.0528691155117844
"169",-0.00037411785538722,0.0576266988771613,-0.0189909230507739,-0.0512551772430759,0.0129935192720757
"170",-0.00504236020362485,-0.0156973450680945,-0.00504605450409207,0.0311033027898126,-0.00531754301400121
"171",0.0344895666785487,-0.0787245312409937,-0.004025943751082,0.0552992801362433,-0.007038371822716
"172",-0.016572030047237,0.043951803073321,0.00490116406181302,0.0107717897003669,-0.0430527267882637
"173",0.0233739448457872,0.0261566770218912,-0.0918566471628667,-0.0139191116355127,0.056245136930701
"174",-0.00321742783710528,-0.0218684417372652,0.0652077866842447,-0.0697397912807856,0.0296178741709113
"175",-0.0216788010634534,0.0951095431691953,-0.0226055063016285,-0.00215998591192148,-0.0486652498921921
"176",-0.023058962079564,-0.00859628185514005,-0.000920538093039393,0.0134710614713459,0.0191047205563974
"177",-0.0725448389063472,-0.053342875928788,0.0772603478448612,0.0563891874335518,-0.0077618204432779
"178",-0.140373243729409,-0.0060987287107166,0.0715293648239129,0.0189608185616197,0.0559817890545931
"179",0.0067005313769258,-0.0335008032616787,0.000618771287389744,-0.0130650255136973,0.0392465261110602
"180",-0.0154684217123541,0.0391770886379042,0.00911757781560805,-0.067197914215965,0.034371669474807
"181",0.0105409726841725,0.126625838985419,-0.0214305613837294,-0.0659728836758127,-0.0497633666100497
"182",-0.0157299316471304,0.0566734158024728,-0.241880532668718,0.210079599434108,-0.00914255092073235
"183",0.0675592966758278,-0.0723685689002722,0.0853571235108132,-0.0938242739300779,0.013276422643709
"184",-0.0371568728444194,0.146487351120114,0.05028965149807,-0.0879665941618234,-0.0716535356119417
"185",-0.170189785569344,-0.100569245303942,-0.0214506846390917,0.247389143076444,0.0448205724359339
"186",-0.041198284479644,0.0131588824619459,0.0304882111115418,0.0174666645674305,-0.019915473661274
"187",0.00674744334572377,0.019491510233503,-0.0497846518558368,-0.0234688581982854,0.0470145564748955
"188",0.0207663832964728,-0.0194450523964939,0.037584824210683,0.0977399443938766,-0.136646099504539
"189",-0.0495217489780801,0.0913456688430823,0.0415772257531412,-0.014259635116962,-0.0691415105011805
"190",0.0150512230504734,-0.020882362537375,0.00388192679765185,0.0112816416732334,-0.0093324289839837
"191",0.0444861337069524,-0.0418559160026781,0.0674545457278055,-0.0159491588813722,-0.0541356045507077
"192",0.00755616160408493,0.0359810033033088,-0.0125870139105809,-0.0211723573410805,-0.0097777936557324
"193",0.0127590833377356,0.00146406005484567,0.049084549205689,-0.0735763331261733,0.0102686405279027
"194",-0.00563662443776711,0.0477585086185699,-0.0571551039835896,-0.00299195799943326,0.0180251778022202
"195",0.0168853726743014,-0.0181659072570472,-0.0535493332311958,-0.0192573445412356,0.0740872123551771
"196",-0.0322637634452455,0.103940731589682,-0.0719069798778629,0.0198637205740062,-0.0196337088405792
"197",-0.0186299098878251,0.101646751329106,0.0285845227172096,-0.0869436421236634,-0.0246577220348275
"198",0.03544739831477,0.0651676211794671,-0.0191017198755569,-0.141685228712336,0.0601719290936562
"199",-0.14431200581434,0.115410233062277,-0.11461989209541,0.262148749482532,-0.118627084635059
"200",-0.0140815937920938,0.000649567953398655,0.0702375633263081,0.0453101275242404,-0.102115665011853
"201",-0.00624964927391146,0.00341095084027868,-0.0376842952836985,0.143925068264272,-0.103402074546941
"202",0.106501651600038,-0.0164004133491198,-0.130772764186209,0.0355643072830502,0.00510721865224009
"203",0.0212444980999684,0.0618795745864312,-0.106255746588161,0.1234662760641,-0.100334602162339
"204",-0.0322505017041024,0.0423215148339671,-8.60472908778599e-05,0.00140480121982673,-0.0113897670588132
"205",0.0140004542914982,-0.0246345051119339,-0.0336546983555589,-0.011625767383452,0.0559145165594466
"206",-0.0139737541194749,0.0170639469352037,0.062834166954861,-0.0263321494007328,-0.0395922103698575
"207",-0.0256334616122029,-0.0350257283675953,0.00961653933482498,-0.0186932494883719,0.0697359001333446
"208",0.162188009835956,0.0545902959762491,-0.108532941337224,-0.234297232991351,0.12605186851637
"209",-0.0286336562926047,0.0593862187444799,0.0238578908228411,-0.0163267658890563,-0.0382836873856598
