"","DM","PT","SM","T","ZM"
"98",-0.000556064334729109,0.00493812373788673,5.89354797848643e-05,-0.00428024501198239,0.000845545642460001
"99",-0.0128513765218423,-0.0240068699679291,0.00176983262789808,-0.00997648037457081,-0.0211755474067704
"100",-0.0181244481522388,-0.024040030435582,-0.0194512061221066,-0.0103827010033594,-0.0106771713078571
"101",-0.034196687800664,-0.0406130813133097,-0.0150455298285893,-0.02224642254,-0.0253502992091941
"102",-0.0376561922899989,-0.0120352820760245,-0.00420325551329724,-0.00494775274861938,-0.018920107650642
"103",-0.0534494357883286,-0.0191460197813259,-0.0101661938750726,-0.0103505439296625,-0.0238292479429237
"104",-0.0271218361661117,-0.0139196758926187,-0.0189021705572001,0.00032530675712998,-0.0283819278051321
"105",0.0197638229282368,0.0269044657692892,0.0128034009084038,-0.00831141419211462,0.0112658400681056
"106",-0.0178636517837145,-0.00274211295616506,-0.0326660342149348,0.00151084799823985,-0.0113485783372879
"107",-0.100212476932687,-0.0664798684423989,-0.0728278374005108,-0.079170080751009,-0.0674481227763145
"108",0.00418600132943756,-0.01549203060269,0.0196412357977599,0.0117959405406923,0.0108947071763952
"109",0.0238732180478308,-0.0450101368442445,-0.0283361980958604,-0.0220510320325844,0.0056149240449672
"110",0.0303338227654185,0.0882670988621319,0.0452864104747342,-0.0157847526603838,0.0170342011862215
"111",-0.0173015392601278,-0.0104039688310333,-0.022488393077941,-0.0169335030244595,-0.0204660615461984
"112",0.0147220583798447,0.0247935035960311,-8.12290022721131e-05,0.000201230850599561,0.0130166709502205
"113",-0.126053942905177,-0.215436395714635,0.00893448905237028,-0.128195023021627,-0.0585842244623511
"114",-0.122885841125176,-0.118382946333913,-0.0306899487747588,0.0475419026117358,-0.0444583363775834
"115",-0.0352298985030398,-0.017788558986793,-0.044888556782502,-0.00482521316101208,-0.0248098285576364
"116",0.00973872834499918,0.00637061122894155,0.00981056466120824,0.0018005356160919,0.00441572306657468
"117",0.0533078141581726,0.0291405081507873,0.00591132365017342,0.0196617004350414,0.0310403231478588
"118",-0.000436100821940316,-0.00392977541275488,0.0315225676438432,0.00994606647294379,0.0244744458648128
"119",0.0456205365354995,0.0300840876458484,0.00623751277895123,-0.00515379563735496,0.0082542398419464
"120",-0.024533595824083,0.0170493971179329,0.0255202781632092,0.0428397967274678,0.0028508310898469
"121",-0.15694912230248,-0.0540940135273085,-0.0876814802180222,0.0138336257280884,-0.0896872209963347
"122",0.0190229176710907,-0.0614057257223513,0.00270447680968974,-0.166816468373924,-0.00946585301936255
"123",-0.0665342413338561,-0.00854004839140707,-0.0692592718861145,-0.0484547926228987,-0.0726140677801385
"124",-0.0494342542539489,-0.0515969457613906,-0.0340222031669767,-0.0327713010275561,-0.0407963392086251
"125",-0.00130270350053734,0.0351309550067508,0.0368105082611321,-0.0073009313977855,0.0209351953636133
"126",0.0503777493929431,0.121619609591444,0.135265460253882,0.053293816574711,0.127891615328393
"127",-0.0335356690251214,-0.0168086531382344,0.00126828356210947,-0.00261688729940233,0.00276539334877476
