"","DM","ePT","iPT","SM","T","ZM"
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.4744640437,0.4764848485,0.3245362319,0.5858095238,0.513329450266667,0.440199028025
"Graphiurus sp. ETH0706",0.320129158733333,0.2355405405,0.2230344828,0.3637792208,0.306257203933333,0.295943236225
"Halmaheramys wallacei bisa rat 374",0.66789621335,0.4308135593,0.3912631579,0.783031746,0.598747182333333,0.586298908166667
"Hapalomys longicaudatus AMNH 242686",0.666740508666667,0.7183508772,0.4729137931,0.7431555556,0.5315475277,0.61470133725
"Heliosciurus gambianus NHM 2022.22",0.54398522365,0.6164313725,0.3630909091,0.6971470588,0.523461175475,0.571636230075
"Hydrochoerus hydrochaeris JAGUARS M5306",0.42951666665,0.43445,1.076647059,1.03635,0.4798,0.622270833325
"Hylaeamys megacephalus JAGUARS M2983",0.2930648926,0.1573571429,0.2040714286,0.33275,0.286760582,0.253689393943333
"Hypogeomys antimena CBUN NMP",0.950455497775,0.54735,0.3471923077,1.120911765,0.72983096845,0.883810245133333
"Idiurus macrotis RMCA 38520",0.46710642765,0.3292881356,0.1471428571,0.4124,0.371965662333333,0.34238586285
"Jaculus jaculus NHM 95.340",0.41093099255,0.3348148148,0.2939803922,0.3896052632,0.3360974801,0.3492151152
"Jaculus jaculus NHM 79.2181",0.258231997466667,0.2244,0.2563421053,0.259,0.2736857143,0.237268628133333
"Kannabateomys amblyonyx NHM 9.11.19.28",0.7839975019,0.6747777778,0.42453125,0.8731428571,0.71061939105,0.6698012263
"Kerodon rupestris CBUN CSB2022-001",0.5097584939,0.3219285714,0.4552608696,0.5513333333,0.4920357143,0.4598712766
"Lagostomus maximus NHM 1970.25",1.03816,0.5819090909,0.61475,1.0393,1.094530612,0.826181190466667
"Laonastes aenigmamus UM TK2007-06",0.7134306418,0.3907241379,0.5757272727,0.7221666667,0.4457092796,0.4634554406
"Lemmus lemmus NHM 2022.23",0.459182086733333,0.4582,0.4039142857,0.3765294118,0.3568237069,0.375974444433333
"Lemmus sibiricus NHM 1976.587",0.485731378966667,0.4065,0.3374722222,0.4847586207,0.469217588666667,0.4613056119
"Lenothrix canus EBD BOR036",0.488515293233333,0.5381714286,0.3154042553,0.609,0.508842135633333,0.4496299289
"Leopoldamys sabanus EBD BOR041",0.4717091429,0.446325,0.3367227723,0.5717936508,0.51659242425,0.5523459664
"Leptomys sp. CBUN FR 2200-033",0.3721935493,0.4077368421,0.2921076923,0.45208,0.434968323366667,0.382075137375
"Lophiomys imhausi NHM unreg",0.795901847233333,0.6732857143,0.2866176471,0.8468666667,0.647122222233333,0.825414054266667
"Lorentzimys nouhuysi CBUN MW-2700-131",0.289893749666667,0.3248813559,0.2360227273,0.3122533333,0.297309521533333,0.2863511945
"Macruromys sp. CBUN FR 1200-029",0.663686209133333,0.5130147059,0.3647029703,0.7878135593,0.605601674466667,0.729626190466667
"Makalata didelphoides UM V36-40",0.693115833333333,0.38825,0.5541818182,0.9217083333,0.475235374133333,0.5195583751
"Malacothrix typica NHM 1898.2.3.5",0.2468341282,0.2903333333,0.1896764706,0.2759459459,0.21485,0.235324444433333
"Massoutiera mzabi NHM 19.7.7.2880",0.361054421733333,0.3246428571,0.3007027027,0.4653098592,0.373467227166667,0.326858087666667
"Mastacomys fuscus MV C9999",0.5571371244,0.4281403509,0.4597192982,0.8351707317,0.754686309533333,0.398531024325
"Mastomys natalensis MNHN-ZM-MO 1993-168",0.465722492166667,0.4404827586,0.2997380952,0.5447580645,0.4929522983,0.453924554775
"Pseudohydromys ellermani CBUN FR 2200-043",0.296084865933333,0.3427,0.1818358209,0.3444482759,0.328828529,0.256381918233333
"Melasmothrix naso AMNH 225097",0.313759675933333,0.4484029851,0.3163563218,0.4125121951,0.367879074933333,0.288963365775
"Mesocricetus auratus NHM 1992.42",0.47437391445,0.2886216216,0.2885714286,0.6214285714,0.461030193233333,0.393547774325
"Mesomys hispidus JAGUARS M1281",0.378229870133333,0.3731666667,0.2855263158,0.4879722222,0.389343720875,0.35834871796
"Microcavia australis NHM 1992.483",0.723063783733333,0.5139056604,0.490804878,0.9488125,0.61727135135,0.60987238095
"Microtus sp. MB 2018-34-15",0.386193055566667,0.222,0.251,0.6376666667,0.425359217166667,0.3480079365
"Monticolomys koopmani FMNH 161703",0.365501993366667,0.3514,0.2533013699,0.4042142857,0.388734984966667,0.3497007274
"Mus crociduroides LSUMZ 39557",0.360795257366667,0.4872666667,0.3457540984,0.3361111111,0.432245098033333,0.316326201925
"Mus crociduroides LSUMZ 39556 (HH1430)",0.396060850433333,0.4472903226,0.3944528302,0.3697142857,0.4006222222,0.373296975875
"Muscardinus avellanarius NHM 1977.856",0.3328537037,0.2445454545,0.2359,0.3792909091,0.3230859477,0.2462320988
"Myocastor coypus QM 1150",1.17952666666667,0.6636333333,0.99254,1.76236,1.06265333335,1.034636666675
"Myodes sp. NHM 1856-7-9-9-15b",0.352312713366667,0.3992692308,0.3154137931,0.3920645161,0.381845489166667,0.293838746433333
"Myodes sp. NHM 1856-7-9-9-15a",0.415867376375,0.403173913,0.4416315789,0.5554878049,0.4490364865,0.3393034632
"Myosciurus pumilio NHM 1948.974",0.34768390805,0.4833611111,0.2856969697,0.3805636364,0.314893412366667,0.3351592637
"Nannosciurus exilis tetectus NHM 1892.6.1.10",0.29333603255,0.2931111111,0.5550285714,0.4517884615,0.36597515525,0.349466856066667
"Nannosciurus melanotis NHM 2022.21",0.27049103315,0.5255714286,0.291027027,0.3700363636,0.2993979885,0.289034234233333
"Nannospalax leucodon NHMUK 1986.1781",0.720503393666667,0.8183409091,0.4746166667,0.7711,0.6916509315,0.6878895782
"Neacomys paracou JAGUARS M1674",0.2806060606,0.175875,0.1544166667,0.2199411765,0.224741341966667,0.244869791675
"Nectomys rattus JAGUARS V3614",0.510834068633333,0.4969069767,0.259725,0.62794,0.457920512133333,0.445925996875
"Neotoma lepida UWBM 37681",0.40416885965,0.2762222222,0.2872121212,0.4319761905,0.438238709666667,0.37423157895
"Nesokia indica NHM 1909.7.1.82.84",0.762821498925,0.8218235294,0.5976818182,0.6837142857,0.9825928237,0.77079113112
"Nesomys rufus FMNH 173271",0.5404265239,0.3984390244,0.3487380952,0.6411320755,0.489415194833333,0.4832965405
"Nothocricetulus migratorius NHM 1880.4.9.11",0.3751290404,0.2746603774,0.2316086957,0.44,0.398626615466667,0.328229461525
"Notomys alexis MV 31400",0.293976529633333,0.3693571429,0.2548571429,0.3404022989,0.2704284334,0.300369082225
"Octodon degus UM 506V",0.456520949066667,0.3679833333,0.4266326531,0.6054,0.4104159375,0.446746133525
"Oecomys auyantepui JAGUARS M2029",0.3803253968,0.3581666667,0.20175,0.4389090909,0.338367251466667,0.358226190466667
"Oecomys rutilus UM V3625",0.3479547619,0.3393695652,0.2209622642,0.3627017544,0.2372420179,0.266959539166667
"Oligoryzomys delicatus JAGUARS M3252",0.283997629366667,0.1889,0.226625,0.2542727273,0.306695972866667,0.225723809533333
"Ondatra zibethicus UM 486N",0.716085893166667,0.7838571429,0.649372093,0.8888055556,0.7623451109,0.5904091575
"Onychomys torridus UWBM 37628",0.347061784033333,0.3171875,0.2337857143,0.3581836735,0.2867517429,0.26042574785
"Otomys tropicalis CBUN KE211",0.477178977275,0.48405,0.4327959184,0.4734230769,0.645161724066667,0.5256588975
"Palawanomys furvus FMNH 195411",0.4975125456,0.5757837838,0.3199038462,0.5661702128,0.5403127823,0.4427984127
"Paraleptomys whilelmina AMNH 152744",0.3656979254,0.5013333333,0.3420169492,0.4624852941,0.405688945666667,0.35856688345
"Pectinator spekei NHM 1905.11.4.22",0.5716584674,0.50304,0.4879285714,0.7791851852,0.3989728332,0.4066027337
"Pedetes capensis CESKE CBS 1",0.9537934068,0.8108571429,0.5900285714,0.9962903226,0.8144380954,0.8861494959
"Petinomys sp. NHM 1903.11.2.5",0.408921417375,0.4260857143,0.25946875,0.4509090909,0.3232655977,0.385408684466667
"Petromus typicus NHM 1928.9.11.502",0.5211523511,0.3153225806,0.2929047619,0.6757878788,0.40303860295,0.5472107898
"Petromyscus sp. CBUN ANG0154",0.228653358125,0.2708076923,0.2093818182,0.2645230769,0.17509022695,0.204955197
"Petromyscus sp. CBUN ANG0162",0.27734677115,0.1977560976,0.1740333333,0.3080350877,0.22389890486,0.2344126984
"Phodopus sp. CBUN -",0.389402777766667,0.4198,0.2460833333,0.38825,0.296199827733333,0.3209811885
"Pogonomelomys sp. CBUN FR2200-039",0.355183800333333,0.4624583333,0.2602666667,0.3973333333,0.333364767333333,0.35794499145
"Proechimys guyannensis M1199",0.40529356725,0.357452381,0.4277619048,0.4351777778,0.34750230415,0.378563873875
"Pseudohydromys murinus CBUN MW 2700-106",0.244141905833333,0.3063333333,0.2152631579,0.2577758621,0.243262424433333,0.210051190475
"Pseudomys australis MV C4544",0.3812783431,0.3621136364,0.2569245283,0.4120806452,0.35413979495,0.37952656885
"Rattus baluensis EBD BOR210",0.41705918115,0.4113970588,0.3472333333,0.4540754717,0.2910878788,0.370322793533333
"Rattus norvegicus UM Paul Gervais",0.80386585365,0.6174642857,0.50648,0.79075,0.723528247766667,0.651373794
"Ratufa sp. NHM 2022.24",0.8007229225,0.8184130435,0.4509464286,0.8492545455,0.730393002933333,0.574046212666667
"Reithrodontomys megalotis UWBM 74514",0.229507967033333,0.2209365079,0.1600322581,0.2366,0.2039977835,0.189446256875
"Rhinosciurus robinsoni NHM 1915.12.28.6",0.52666991995,0.7305151515,0.4757560976,0.623627451,0.546461415166667,0.4818359649
"Saccostomus campestris UM TDR106",0.3414921654,0.3528490566,0.2885072464,0.4228059701,0.383465795333333,0.3722656746
"Salpingotulus michaelis NHM 65.4168",0.152114410875,0.182474359,0.3768571429,0.1527945205,0.2031702128,0.1465162253
"Sciurillus pusillus NHM 1932.8.4.16",0.35570682175,0.6678108108,0.3416065574,0.53956,0.441095522933333,0.4152401666
"Sciurus aestuans MNHN-ZM-MO 1902-46A",0.75967708335,0.91928,0.354125,0.8550384615,0.7037905775,0.662618417833333
"Sciurus vulgaris MB 2022.2.12",0.76888359205,0.75408,0.3148666667,0.6160869565,0.82543205125,0.6403973412
"Sciurus vulgaris MB 2023.2.14",0.65090728905,0.314983871,0.2584081633,0.65715625,0.52450164205,0.30425903265
"Sciurus vulgaris MB 2022.2.15",0.9310676768,0.85675,0.3364444444,0.8838604651,0.56669583335,0.687252765766667
"Sicista betulina CBUN unregistered",0.2775894737,0.2320689655,0.1871,0.2799230769,0.282985527533333,0.249321212133333
"Spalax sp. CBUN ISR007",0.638662422675,0.5641315789,0.4118611111,0.7876785714,0.72027233558,0.542209020125
"Urocitellus richardsonii NHM 1893.1.5.1",0.769877334033333,0.7767,0.4148,0.9921521739,0.97023214285,0.70952504245
"Steatomys caurinus RMCA 1993.012.M0353",0.2688763158,0.2580952381,0.1897,0.2835217391,0.257604433275,0.235854166675
"Steatomys krebsi CBUN RS0977",0.255335848,0.2496875,0.1817391304,0.28554,0.21853117285,0.247809793366667
"Steatomys parvus CBUN RS0713",0.303488812633333,0.2625892857,0.2453636364,0.4147894737,0.286541739866667,0.264839801533333
"Aethomys hindei CBUN ETH1371",0.48389570235,0.4220238095,0.3157666667,0.5009482759,0.393754451766667,0.383044681766667
"Stenomys sp. MV C2104",0.3797726021,0.39655,0.292016129,0.41588,0.394111304266667,0.3037898779
"Stochomys longicaudatus MNHN-ZM-MO 2000-288",0.472903869033333,0.5127317073,0.3144117647,0.5704,0.4657620142,0.457249436525
"Sundamys infraluteus EBD BORN272",0.510950802433333,0.4579836066,0.2995,0.55216,0.497333176133333,0.478465238733333
"Sundamys muelleri EBD BORN424",0.5035107933,0.4999714286,0.3053829787,0.578245614,0.41823161945,0.523878913333333
"Sundasciurus philippinensis FMNH 208786",0.734074425566667,0.8859814815,0.4446734694,0.7357714286,0.664315960933333,0.610981796566667
"Tamias minimus UWBM 74537",0.366055254425,0.4669318182,0.3267173913,0.4472075472,0.441123581566667,0.35771322165
"Tamiops maritimus NHM 2022.5.4",0.362337443675,0.4391333333,0.2350144928,0.4603378378,0.335294720566667,0.3391231456
"Tarsomys apoensis FMNH 147968",0.528716779833333,0.618,0.384,0.6249565217,0.464605990933333,0.46747894065
"Tateomys rhinogradoides AMNH 223968",0.3644575084,0.522826087,0.3325151515,0.463516129,0.384263448966667,0.320286858975
"Thomasomys sp. MUSM 40832",0.278693899766667,0.3023478261,0.1844285714,0.3583269231,0.31003571425,0.291346464633333
"Thrichomys laurentius NHM 3.10.1.118-221",0.518707809566667,0.3833333333,0.2710454545,0.5615862069,0.3992030812,0.4563917277
"Thryonomys swinderianus MNHN-ZM-MO 1996-41",0.5460472973,0.4692352941,0.5043225806,0.732137931,0.4621044408,0.546084368525
"Tylomys watsoni USNM 460459",0.659559336175,0.7065757576,0.3118636364,0.8188571429,0.648093597833333,0.645439418825
"Zelotomys woosnami NHM 1910.6.3.86",0.381556764833333,0.3478108108,0.2501132075,0.4091904762,0.384965719866667,0.33073900765
"Zygodontomys brevicauda JAGUARS M1376",0.3438859649,0.185,0.2569285714,0.4583333333,0.315510119033333,0.3053631119
"Aplodontia rufa UM 806V",0.94572409245,0.6794090909,0.3847288136,1.115270833,1.20291337333333,1.1623087875
"Bathyergus suillus BS13",0.82656666672,0.59829545455,0.975,1.12690476205,1.083031315,1.284750000075
"Bathyergus suillus BS2",1.312662393,0.79,0.7738461538,1.31486014,1.416267361,1.216130952425
