"","DM","ePT","iPT","SM","T","ZM"
"199",-0.0573882834573436,-0.00696412177969899,0.0102666791599852,0.0672325986310182,0.00828377072399669,-0.0214306432779576
"200",0.102268674980779,-0.050339761713701,0.0290053486593142,-0.0768829717387636,0.0847531900239141,-0.0888044802115423
"201",-0.00565168780770314,0.0241377888314195,-0.0281689144077101,-0.0338936937343759,0.0237928924684543,0.0197836146499153
"202",0.0457095831245488,0.00265043005271453,0.00163156161737232,0.0440396516292286,-0.0563500813979359,-0.0376811450259281
"203",0.0716573676159031,-0.00283996260627022,-0.0687628080773527,0.00862385235532831,-0.0316341071883181,0.0229556579007099
"204",-0.0181274727392415,-0.108473907869325,0.04713856388556,-0.00770778055494751,0.0605125533760088,0.0266580439019461
"205",-0.0350679793770366,-0.0396564366448029,0.00305388808968125,0.0737126957637315,0.0292046431963791,-0.0312468110279514
"206",0.050447321327823,-0.0697258844974782,-0.0406274496309671,0.00177541136624044,-0.0848485155653023,0.142979116999683
"207",0.0386445885626749,-0.00556182362442354,0.00512990602871695,0.0665563859537458,-0.0568697498161644,-0.0478993071045491
"208",0.0133587096377564,0.0131328236980522,-0.0259044294180309,-0.0376042647322285,-0.0378890572904303,0.0749062181048806
"209",-0.0370544329338574,-0.0188792513756276,-0.0181950505891954,0.0422468953224028,0.121019752170083,-0.0891379125938052
"210",0.120435473927273,0.100437616383964,-0.0444511785064781,0.007956991232471,-0.270907191774218,0.0865282887369873
"211",0.156891511535723,-0.0429990957896887,-0.0545605964876522,-0.051741931297134,-0.124611075446315,0.117021187485067
"212",-0.101637877629486,-0.0853641862134399,-0.00698526855310293,0.0178844657759427,0.277299038430421,-0.101196171810336
"213",0.0922000519057032,0.0612866528440364,0.11557031611503,-0.124636875363782,-0.0752633345826438,-0.0691568109183434
"214",-0.0485368591209888,0.0604637650794084,0.0250261765262579,0.0785219547057251,-0.0168399256059069,-0.0986351115844961
"215",0.0230707817694697,-0.113483333689741,0.00433109841123627,0.0556096495138147,-0.0121674010262491,0.0426392050214693
"216",0.0568573818259122,-0.0543362453971439,-0.0531783703029941,-0.0148333187214471,0.0251730707017575,0.0403174818939158
"217",0.16383762852107,0.135067839553023,-0.0262160140307661,-0.139258934227652,-0.229559114922933,0.0961285951072595
"218",-0.0178818123749922,-0.00340929659317362,0.0201603512968812,0.0138287961939307,0.00887195897322374,-0.0215699974958696
"219",0.0397795878585764,-0.0457376093894075,-0.0431007594766262,0.0163122121574414,-0.00844954982319647,0.0411961186732127
"220",-0.0692963033674057,0.129242602460796,-0.0282508700470197,0.0153949307864644,-0.108379543008947,0.0612891831761101
"221",-0.0245469884421918,0.0872941301585763,-0.0741934255984785,-0.0304847473455957,-0.0369852811314762,0.0789163123591659
"222",-0.0342978269487074,-0.0820267645875137,0.0422367233719804,0.0517263526657133,-0.0112374175136871,0.0335989330122153
"223",0.0656632183843624,-0.0209365492813998,-0.0132067101805641,-0.000384623910822708,-0.0579717418854157,0.0268364068738398
"224",0.0792124783340154,-0.106027927818258,0.0128567318531887,-0.0144396888801087,0.101058772756597,-0.072660366245437
